"ID","Literature_ID","Nodes_ID","Edges_ID","Pertains_To","Pages"
"1482","60","544",NULL,,"p. 29"
"1484","64","1494",NULL,,"105"
"1486","60","717",NULL,"tolls","32"
"1488","60","757",NULL,,"33"
"1490","38","1509",NULL,,"129"
"1492","38","1350",NULL,,"118"
"1494","60","922",NULL,,"39"
"1496","60","940",NULL,,"41"
"1498","158","1177",NULL,"tolls","1-2, 6-7, 12-18, 26-28, 35-36, 44-71, 95-99"
"1500","158","6379",NULL,"tolls","7, 27-28, 95-99"
"1502","164","1522",NULL,,"33"
"1504","164","116",NULL,,"p. 4"
"1506","38","1526",NULL,,"134"
"1508","158","1863",NULL,"tolls","8, 19-21, 72-85"
"1512","38","1529",NULL,,"134"
"1516","158","8955",NULL,,"8"
"1518","66","1532",NULL,,"114"
"1520","158","8956",NULL,,"8, 23, 32-33"
"1522","158","8957",NULL,,"8"
"1526","158","8958",NULL,,"8"
"1528","154","4260",NULL,"tolls","49"
"1530","158","4260",NULL,"tolls","9, 35"
"1532","4","4260",NULL,"tolls","268"
"1536","158","8959",NULL,,"8"
"1538","38","1538",NULL,,"135"
"1540","158","8960",NULL,,"11"
"1542","158","8962",NULL,,"11"
"1544","158","8963",NULL,,"11"
"1546","48","1540",NULL,,"127-128"
"1548","68","1541",NULL,,"38"
"1550","38","1542",NULL,,"135"
"1552","164","1543",NULL,,"34"
"1554","158","8964",NULL,"tolls","15-16"
"1556","162","1545",NULL,,"108"
"1558","158","8965",NULL,,"15"
"1560","158","8966",NULL,,"15"
"1562","158","8967",NULL,,"15"
"1564","158","1177",NULL,"staple","12, 26, 41"
"1566","62","8968",NULL,,"301-302"
"1570","158","8969",NULL,,"19"
"1572","62","8970",NULL,,"318"
"1576","158","8485",NULL,"tolls","19, 100"
"1578","158","8971",NULL,"tolls","19, 27-28, 100"
"1580","158","5307",NULL,"tolls","8, 19-21"
"1582","158","1863",NULL,,"23, 31-32"
"1584","158","1131",NULL,"tolls","23"
"1586","158","8972",NULL,,"23, 31-32, 39"
"1588","228","8966",NULL,,"232"
"1590","228","8967",NULL,,"232"
"1592","228","8965",NULL,,"232"
"1594","228","942",NULL,"tolls","631-632"
